ticket,time_setup,time_setup_msc,time_done,time_done_msc,time_expiration,type,type_time,type_filling,state,magic,position_id,position_by_id,reason,volume_initial,volume_current,price_open,sl,tp,price_current,price_stoplimit,symbol,comment,external_id
76045919,1754029609,1754029609947,1754029610,1754029610087,0,1,0,1,4,1000,76045919,0,3,0.03,0.0,0.0,3295.95,3288.95,3291.97,0.0,XAUUSD,Robo XAUUSD,rzXj9o_3D4FpiqMRF
76048768,1754031622,1754031622369,1754031622,1754031622521,0,0,0,1,4,1000,76045919,0,4,0.03,0.0,3291.95,0.0,0.0,3291.95,0.0,XAUUSD,[sl 3291.95],rgEl9ocqE4Fp_3D4Fin6RF
76054806,1754035173,1754035173562,1754035173,1754035173735,0,0,0,1,4,1000,76054806,0,3,0.03,0.0,0.0,3288.63,3295.63,3292.63,0.0,XAUUSD,Robo XAUUSD,rqOq9oGUG4FpiuZTF
76056143,1754035940,1754035940274,1754035940,1754035940385,0,1,0,1,4,1000,76054806,0,4,0.03,0.0,3292.63,0.0,0.0,3292.63,0.0,XAUUSD,[sl 3292.63],rI-q9oXuG4FpGUG4FiVxTF
76063631,1754038979,1754038979400,1754038979,1754038979514,0,1,0,1,4,1000,76063631,0,3,0.03,0.0,0.0,3299.96,3292.96,3295.96,0.0,XAUUSD,Robo XAUUSD,r2Fw9oLzI4FpinkVF
76065277,1754040110,1754040110245,1754040110,1754040110359,0,0,0,1,4,1000,76063631,0,4,0.03,0.0,3295.96,0.0,0.0,3295.96,0.0,XAUUSD,[sl 3295.96],rDJx9omOJ4FpLzI4Fif-VF
76071505,1754043101,1754043101817,1754043101,1754043101934,0,0,0,1,4,1000,76071505,0,3,0.03,0.0,0.0,3288.74,3295.74,3292.74,0.0,XAUUSD,Robo XAUUSD,rq909oZ-K4FpiEfXF
76074578,1754044312,1754044312251,1754044312,1754044312384,0,1,0,1,4,1000,76071505,0,4,0.03,0.0,3288.74,0.0,0.0,3288.74,0.0,XAUUSD,[sl 3288.74],rGf29on1L4FpZ-K4FieRYF
76472512,1754320252,1754320252180,1754320252,1754320252305,0,1,0,1,4,1000,76472512,0,3,0.03,0.0,0.0,3372.87,3365.87,3368.87,0.0,XAUUSD,Robo XAUUSD,rPlGxo4VC6FpiqUh
76472833,1754320328,1754320328344,1754320328,1754320328474,0,0,0,1,4,1000,76472512,0,3,0.01,0.0,0.0,0.0,0.0,3368.0,0.0,XAUUSD,Fechamento parci,rD0GxoNbC6Fp4VC6FiyZh
76473707,1754320580,1754320580017,1754320580,1754320580129,0,0,0,1,4,1000,76472512,0,4,0.02,0.0,3368.87,0.0,0.0,3368.87,0.0,XAUUSD,[sl 3368.87],raRHxoztC6Fp4VC6Fi6nh
76606330,1754367395,1754367395308,1754367395,1754367395430,0,1,0,1,4,1000,76606330,0,3,0.03,0.0,0.0,3383.12,3376.12,3379.12,0.0,XAUUSD,Robo XAUUSD,rz7XyoKgq6FpiZGGB
76608124,1754367968,1754367968508,1754367968,1754367968631,0,0,0,1,4,1000,76606330,0,3,0.01,0.0,0.0,0.0,0.0,3378.24,0.0,XAUUSD,Fechamento parci,rtGZyoECs6FpKgq6FiffGB
76608308,1754368039,1754368039935,1754368040,1754368040076,0,0,0,1,4,1000,76606330,0,4,0.02,0.0,3379.12,0.0,0.0,3379.12,0.0,XAUUSD,[sl 3379.12],ryOZyoIFs6FpKgq6Fi2hGB
76614684,1754369945,1754369945531,1754369945,1754369945640,0,1,0,1,4,1000,76614684,0,3,0.03,0.0,0.0,3383.85,3376.85,3379.85,0.0,XAUUSD,Robo XAUUSD,rwDdyoY3t6FpiC_HB
76615554,1754370036,1754370036868,1754370036,1754370036992,0,0,0,1,4,1000,76614684,0,4,0.03,0.0,3379.85,0.0,0.0,3379.85,0.0,XAUUSD,[sl 3379.85],rvkdyo6Fu6FpY3t6FicLIB
76631028,1754374500,1754374500553,1754374500,1754374500693,0,1,0,1,4,1000,76631028,0,3,0.03,0.0,0.0,3377.27,3372.27,3373.16,0.0,XAUUSD,Robo XAUUSD,rv8nyo0Xy6FpiIqLB
76633346,1754375431,1754375431863,1754375432,1754375432022,0,0,0,1,4,0,76631028,0,0,0.03,0.0,0.0,0.0,0.0,3373.73,0.0,XAUUSD,,raVsyoaCz6Fp0Xy6FiuLMB
76648628,1754382026,1754382026096,1754382026,1754382026205,0,0,0,1,4,1000,76648628,0,3,0.03,0.0,0.0,3366.7,3373.7,3370.79,0.0,XAUUSD,Robo XAUUSD,rBK1yoIR36FpiBnPB
76651437,1754383338,1754383338155,1754383338,1754383338294,0,1,0,1,4,1000,76648628,0,4,0.03,0.0,3370.7,0.0,0.0,3370.7,0.0,XAUUSD,[sl 3370.70],rLt2yo9D46FpIR36FiFOQB
76695283,1754398094,1754398094205,1754398094,1754398094365,0,0,0,1,4,1000,76695283,0,3,0.03,0.0,0.0,3360.23,3367.23,3364.22,0.0,XAUUSD,Robo XAUUSD,rzlRzovOE7FpiqtaB
76695878,1754398301,1754398301367,1754398301,1754398301481,0,1,0,1,4,1000,76695283,0,4,0.03,0.0,3364.23,0.0,0.0,3364.23,0.0,XAUUSD,[sl 3364.23],rN8RzonYE7FpvOE7Fil2aB
